Zip Code,City,Distance_to_Bellevue
98001,Auburn,21.4577004
98002,Auburn,21.27839781
98003,Federal Way,22.49220048
98004,Bellevue,1.722189404
98005,Bellevue,0
98006,Bellevue,4.018353624
98007,Bellevue,1.139083472
98008,Bellevue,3.301430217
98010,Black Diamond,22.33327592
98011,Bothell,9.714214874
98014,Carnation,13.30478
98019,Duvall,16.7700272
98022,Enumclaw,29.99946894
98023,Federal Way,22.81554569
98024,Fall City,12.88002595
98027,Issaquah,11.51359692
98028,Kenmore,10.42509439
98029,Issaquah,8.490379406
98030,Kent,17.14277236
98031,Kent,14.4991513
98032,Kent,15.92353517
98033,Kirkland,4.399668816
98034,Kirkland,7.30083929
98038,Maple Valley,16.69050981
98039,Medina,3.539272515
98040,Mercer Island,4.39645642
98042,Kent,17.22258068
98045,North Bend,30.55913546
98052,Redmond,5.111971537
98053,Redmond,8.36748775
98055,Renton,11.67700372
98056,Renton,7.118608852
98058,Renton,12.05289834
98059,Renton,8.409932412
98065,Snoqualmie,17.68206787
98070,Vashon,20.17939061
98072,Woodinville,10.26070266
98074,Sammamish,5.82886356
98075,Sammamish,6.427906783
98077,Woodinville,10.77924525
98092,Auburn,22.77073246
98102,Seattle,7.298240748
98103,Seattle,9.02942125
98105,Seattle,6.250254787
98106,Seattle,9.744547023
98107,Seattle,10.38514171
98108,Seattle,8.430944607
98109,Seattle,8.258791737
98112,Seattle,5.716180431
98115,Seattle,7.195280121
98116,Seattle,11.13676993
98117,Seattle,11.25802965
98118,Seattle,6.925394649
98119,Seattle,9.560044106
98122,Seattle,5.799842949
98125,Seattle,9.197228014
98126,Seattle,10.63289167
98133,Seattle,11.88609489
98136,Seattle,11.81892035
98144,Seattle,6.075793607
98146,Seattle,11.84341599
98148,Seattle,13.84501732
98155,Seattle,11.44229564
98166,Seattle,14.1633883
98168,Seattle,10.58120545
98177,Seattle,13.08881018
98178,Seattle,8.691611873
98188,Seattle,12.57609219
98198,Seattle,16.86455189
98199,Seattle,11.39506306
